Image,BlurType,SNR,Method,PSNR_raw,SSIM_raw,PSNR_enh,SSIM_enh
blurred_lena_m33_29.bmp,motion,0.001,direct,14.3596877017263,0.562351159877073,19.2205594528418,0.610184562957395
blurred_lena_m33_29.bmp,motion,0.001,theta+1,15.381772732592,0.580721751019761,19.5984411198567,0.595578664926098
blurred_lena_m33_29.bmp,motion,0.001,theta-1,15.2141428477149,0.571377270638859,19.3736811471336,0.583433216100848
blurred_lena_m33_29.bmp,motion,0.0001,direct,11.9095769432711,0.49063507271778,18.6171828819763,0.396691665896247
blurred_lena_m33_29.bmp,motion,0.0001,theta+1,13.9620565632856,0.50933177277624,17.9888441351027,0.363054567130455
blurred_lena_m33_29.bmp,motion,0.0001,theta-1,13.9306767322548,0.512713024839634,18.4541708924336,0.372274894248125
blurred_lena_m135_19.bmp,motion,0.1,direct,22.2287031160871,0.63824251613578,19.4428031299345,0.583865288783137
blurred_lena_m135_19.bmp,motion,0.1,theta+1,21.9897764742018,0.640927859947918,19.4528829930095,0.589584117283277
blurred_lena_m135_19.bmp,motion,0.1,theta-1,22.198590550364,0.633669661267444,19.4410316555084,0.579831329834846
blurred_lena_m135_19.bmp,motion,0.01,direct,16.2118537653692,0.584498860694848,19.4901462076286,0.551611340316909
blurred_lena_m135_19.bmp,motion,0.01,theta+1,16.4836137639936,0.599743870225608,19.5180204736763,0.568827938002294
blurred_lena_m135_19.bmp,motion,0.01,theta-1,17.5081709460039,0.583451921098185,19.380139843982,0.53568109509968
blurred_lena_m135_19.bmp,motion,0.001,direct,16.3262398394759,0.517161884798331,17.9933994686074,0.365353140458371
blurred_lena_m135_19.bmp,motion,0.001,theta+1,15.9923517994878,0.523844097635813,17.747057430968,0.375722227076599
blurred_lena_m135_19.bmp,motion,0.001,theta-1,15.2954748488952,0.495413852091249,17.3568968358624,0.332375959395433
blurred_lena_m135_19.bmp,motion,0.0001,direct,15.9718236749205,0.426769790002786,15.331370912015,0.189213434479409
blurred_lena_m135_19.bmp,motion,0.0001,theta+1,15.2130494791259,0.435807817411012,15.4974955435081,0.197097276148462
blurred_lena_m135_19.bmp,motion,0.0001,theta-1,14.54396717941,0.412478732025973,15.2757959447123,0.173562972963438
blurred_lena_g_11_3.bmp,gaussian,0.1,direct,22.0737133102218,0.669546805019099,19.8490105490862,0.620021562157531
blurred_lena_g_11_3.bmp,gaussian,0.01,direct,24.0732640446609,0.719525386907079,20.0575409144074,0.643226297330168
blurred_lena_g_11_3.bmp,gaussian,0.001,direct,22.7009101239906,0.675502436667102,20.1447899618947,0.616076129759892
blurred_lena_g_11_3.bmp,gaussian,0.0001,direct,17.703859860747,0.526641824669076,18.9783145964525,0.454749070722559
blurred_lena_g_19_7.bmp,gaussian,0.1,direct,20.1272341148504,0.564016442626353,19.2432618812772,0.534923638273787
blurred_lena_g_19_7.bmp,gaussian,0.01,direct,21.1224687422309,0.617996515074193,19.7956739533703,0.566342521355184
blurred_lena_g_19_7.bmp,gaussian,0.001,direct,19.7899274470858,0.632286601499358,19.8562974956062,0.575235730841365
blurred_lena_g_19_7.bmp,gaussian,0.0001,direct,11.7674945640671,0.49775961254994,19.1912712208178,0.490869034924499
